Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
200000000004,Sundries,1,999,n,n,FAFDA ,Fafda,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
499914570004,Sundries,1,149,n,n,8.52812E+11,8.52812E+11,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
200001000003,Beer,1,699,n,n,Budlight 6pack cans,Bud Light 6pack Cans,12oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
200002000002,Beer,1,699,n,n,Budweiser,Budweiser,12floz 6pk,,n,1,0,0,n,,0,,,,,,n,,,,,,,
499914570011,Liquor ,1,3199,n,n,Villon vsop cognac,Villon VSOP Cognac,750ml,,n,1,1,0,n,,0,,,,,,n,,,,,,,
499145750008,Labubu,1,1099,n,n,Labubu,Labubu,1,,n,1,1,0,n,,0,,,,,,y,,,,,Labubu keychain,Labubu,1
201412000002,Sundries,1,1999,n,n,Weight max gts 100,Weight Max Gts 100,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
202000000008,Ice bag 10 lab,1,249,n,n,test item,Test Item,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
205200000007,Liquor ,1,6999,n,n,Plantery rum barbados xo rum 20th,Plantery Rum Barbados XO Rum 20th,750ml,,n,1,1,0,n,,1,,,,,,n,,,,,,,
223456000008,Sundries,1,1299,n,n,GlSses,Glsses,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
246175000005,Sundries,1,1299,n,n,Preamium,Preamium,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
256891000005,Sundries,1,1299,n,n,Rhino 69,Rhino 69,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
07933624,Snacks /candy,1,129,n,n,Nerds grape & strawberry,Nerds Grape & Strawberry,,,n,0,1,0,n,,0,,,,,,n,,,,,,,
11319375,Sundries,1,149,n,n,Camo mango,Camo Mango,,,n,1,0,0,n,,-4,,,,,0,n,,,,,,,
13817770,Snacks /candy,1,229,n,n,Big league chew ,Big League Chew,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
19869377,Sundries,1,99,n,n,Camo choco,Camo Choco,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
19889375,Sundries,1,99,n,n,Camo grape,Camo Grape,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
19889399,Sundries,1,99,n,n,Camo watermelon,Camo Watermelon,,,n,1,0,0,n,,11,,,,,0,n,,,,,,,
19999371,Sundries,1,99,n,n,Camo blueberry,Camo Blueberry,,,n,1,0,0,n,,-4,,,,,0,n,,,,,,,
20311018,Tabbocco,1,149,n,n,Camo,Camo,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
20311025,Tabbocco,1,149,n,n,Camo,Camo,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
27081891,Food,1,389,n,n,Bomb burrito,Bomb Burrito,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
42094579,Soda & Drink's,1,399,n,n,Fanta tropical,Fanta Tropical,500ml,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
50960767,Sundries,1,199,n,n,Halls forest fruit flavour,Halls Forest Fruit Flavour,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
50985081,Sundries,1,199,n,n,Halls coolwave,Halls Coolwave,,,n,1,0,0,n,,4,,,,,0,n,,,,,,,
50985104,Sundries,1,199,n,n,Halls honey lemon,Halls Honey Lemon,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
60014399,Sundries,1,199,n,n,Vaseline blueseal original,Vaseline Blueseal Original,1,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
60019066,Sundries,1,299,n,n,Vaseline,Vaseline,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
75004699,Soda & Drink's,1,349,n,n,Coca cola orignal,Coca-cola Orignal,500ml,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
75005061,Soda & Drink's,1,349,n,n,Sprite,Sprite,500ml,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
75021184,Food,1,99,n,n,Lucas Muecas:Flavored with Chili Powder,Lucas Muecas:flavored With Chili Powder,0.88 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
75050054,Sundries,1,35,n,n,Lemon,Lemon,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
75050115,Snacks /candy,1,99,n,n,Limon 7,Limon 7,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
75064631,Snacks /candy,1,149,n,n,Pelon,Pelon,,y,n,1,0,0,n,,9,,,,,0,n,,,,,,,
75970185,Liquor ,1,599,n,n,diplomatico rum,Diplomatico Rum,50ml,,n,1,0,0,n,,12,,,,,0,n,,,,,,,
78938793,Sundries,1,199,n,n,Halls,Halls,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
78938816,Sundries,1,199,n,n,Halls,Halls,,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
78938830,Sundries,1,199,n,n,Halls,Halls,,,n,1,0,0,n,,4,,,,,0,n,,,,,,,
78938847,Sundries,1,199,n,n,Halls,Halls,,,n,1,0,0,n,,4,,,,,0,n,,,,,,,
78938854,Sundries,1,199,n,n,Halls,Halls,28 g,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
78938861,Sundries,1,199,n,n,Halls uva verde,Halls Uva Verde,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
88005324,Beer,1,599,n,n,Cass fresh,Cass Fresh,500ml,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
89000557,Liquor ,1,3499,n,n,Old monk,Old Monk,750ml,,n,1,1,0,n,,3,,,,,,n,,,,,,,
90331701,Soda & Drink's,1,399,n,n,Fanta shokta,Fanta Shokta,500ml,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
96179529,Snacks /candy,1,199,n,n,mr egg,Mr Egg,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
96179536,Food,1,99,n,n,Egg,Egg,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
000630135899,Snacks /candy,1,199,n,n,"Too Tarts Spray Candy Sugar Free, Straw Bewwy","Too Tarts Spray Candy Sugar Free, Straw Bewwy",1 Oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
001254839224,Sundries,1,1499,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,7,,,,,0,n,,,,,,,
001254839248,Sundries,1,1999,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
001254839279,Sundries,1,1499,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,10,,,,,0,n,,,,,,,
001254839293,Snacks /candy,1,1499,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,9,,,,,0,n,,,,,,,
001254839347,Sundries,1,1499,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,10,,,,,0,n,,,,,,,
001254839378,Sundries,1,1999,n,n,Glow stick,Glow Stick,,,n,1,0,0,n,,6,,,,,0,n,,,,,,,
001254839392,Sundries,1,1499,n,n,glow stick 2600puffs,Glow Stick 2600puffs,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
002015000402,Sundries,1,1499,n,n,Blutu,Blutu,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
002157485846,Sundries,1,999,n,n,Rhino 69,Rhino 69,1pk,,n,1,1,0,n,,1,,,,,,n,,,,,,,
002157486027,Sundries,1,999,n,n,Rhino Super Long Lasting,Rhino Super Long Lasting,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
005248792519,Sundries,1,1099,n,n,Rhino Super Long Lasting ,Rhino Super Long Lasting,,,n,1,1,0,n,,9,,,,,,n,,,,,,,
005692548397,Sundries,1,1499,n,n,Rhino 69 cbd sex pill,Rhino 69 Cbd Sex Pill,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
005692548427,Sundries,1,999,n,n,Kittykat,Kitty Kat,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008274004830,Soda & Drink's,1,249,n,n,Reeds strawberry vanilla,Reed's Strawberry Vanilla,12floz,,n,1,1,0,n,,10,,,,,,n,,,,,,,
008274004960,Soda & Drink's,1,249,n,n,Reeds root bear ,Reed's Root Bear,12floz,,n,1,1,0,n,,7,,,,,,n,,,,,,,
008274111118,Soda & Drink's,1,799,n,n,"Reed's:Ginger Ale, Original Brew, Jamaican Style","Reed's:ginger Ale, Original Brew, Jamaican Style",4pk,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008274484847,Mix cocktails,1,799,n,n,REEDS STRONGER GINGER BEER 4PK,Reed's Stronger Ginger Beer 4-pack,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008274665000,Mix cocktails,1,699,n,n,Reeds real ginger ale,Reed's Real Ginger Ale,4pk,,n,1,1,0,n,,0,,,,,,n,,,,,,,
008274666007,Soda & Drink's,1,799,n,n,Real ginger ale,Real Ginger Ale,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000019,Tabbocco,1,249,n,n,Zig Zag Braunstein Freres,Zig Zag Braunstein Freres,1,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000026,Tabbocco,1,249,n,n,Zig-Zag Slow Burning Wrapping Paper,Zig-zag Slow Burning Wrapping Paper,1 ct,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000040,Tabbocco,1,299,n,n,Israel Edible Products Ltd.,Israel Edible Products Ltd.,1,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000071,Tabbocco,1,249,n,n,ZigZag Cigarette Paper King,Zigzag Cigarette Paper King,1,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000156,Tabbocco,1,249,n,n,zig zag 3cone,Zig Zag 3cone,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008660000187,Tabbocco,1,299,n,n,zig zag 6cone,Zig Zag 6cone,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008660007292,Tabbocco,1,249,n,n,ZIG ZAG UNBLEACHED KING SLIM,Zig Zag Unbleached King Slim,PACK,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008660007322,Tabbocco,1,249,n,n,Zig Zag Ultra Thin,Zig Zag Ultra Thin,1,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660007384,Tabbocco,1,249,n,n,Zig Zag Hemp 1 1/4,Zig Zag Hemp 1 1/4,EA,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660007407,Tabbocco,1,249,n,n,ZIG ZAG UNBLEACHED 1 1/4,Zig Zag Unbleached 1 1/4,PACK,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
008660007698,Sundries,1,299,n,n,Zig zag,Zig Zag,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
008660007766,Tabbocco,1,229,n,n,Ziz zaz cones,Ziz Zaz Cones,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
008660097354,Sundries,1,249,n,n,Israel Edible Products Ltd.,Israel Edible Products Ltd.,1 pk,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
009060000029,Snacks /candy,1,199,n,n,"Mega Warheads:Candy, Strawberry","Mega Warheads:candy, Strawberry",1.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009060000036,Snacks /candy,1,129,n,n,"The Foreign Candy Company:Rip Rolls, Blue Raspberry","The Foreign Candy Company:rip Rolls, Blue Raspberry",1.50 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009060000043,Snacks /candy,1,199,n,n,"Mega Warheads:Candy, Sour Apple","Mega Warheads:candy, Sour Apple",1.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009114611003,Sundries,1,599,n,n,lighter Fluid,Lighter Fluid,32 oz,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
009125001701,Beer,1,1099,n,n,Summer,Summer,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
009125003354,Beer,1,1099,n,n,Briney  melon gose,Briney Melon Gose,6pkcans,,n,1,0,0,n,,1,,,,,,n,,,,,,,
009125003910,Beer,1,1099,n,n,Anderson Blood Orange Gose,Anderson Blood Orange Gose,6pkcans,,n,1,1,0,n,,1,,,,,0,n,,,,,,,
009257258455,Sundries,1,1299,n,n,Buffalo 25,Buffalo 25,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800000227,Snacks /candy,1,229,n,n,Raffaello:Confetteria,Raffaello:confetteria,1.00 OZ,y,n,1,1,0,n,,-6,,,,,0,n,,,,,,,
009800000524,Snacks /candy,1,99,n,n,Kinder 1,Kinder 1,1,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000555,Food,1,199,n,n,kinder Bueno,Kinder Bueno,1.5 oz,y,n,1,1,0,n,,-21,,,,,,n,,,,,,,
009800001002,Food,1,299,n,n,Tic tac,Tic Tac,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800003624,Snacks /candy,1,209,n,n,Tic Tac,Tic Tac,1 oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800005406,Snacks /candy,1,199,n,n,Tic tac big berry,Tic Tac Big Berry,1,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800006342,Snacks /candy,1,499,n,n,Tic tac big berry adventure,Tic Tac Big Berry Adventure,200mints,y,n,1,0,0,n,,-1,,,,,,n,,,,,,,
009800007462,Food,1,299,n,n,tic tac,Tic Tac,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800007608,Snacks /candy,1,209,n,n,Tic Tac:Fruit Adventure,Tic Tac:fruit Adventure,1.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007615,Snacks /candy,1,209,n,n,Tic Tac Freshmints,Tic Tac Freshmints,1.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007639,Snacks /candy,1,179,n,n,Tic Tac Orange,Tic Tac Orange,1.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007677,Snacks /candy,1,199,n,n,Tic Tac Big Pack Wintergreen Singles,Tic Tac Big Pack Wintergreen Singles,1.00 Oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800010219,Snacks /candy,1,339,n,n,Tic tac,Tic Tac,1,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800010226,Snacks /candy,1,339,n,n,Tic tac,Tic Tac,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800123018,Snacks /candy,1,279,n,n,Ferrero Rocher:Fine Hazelnut Chocolates,Ferrero Rocher Rocher:fine Hazelnut Chocolates,1.30 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800512041,Snacks /candy,1,219,n,n,Kinder,Kinder,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800513048,Snacks /candy,1,379,n,n,Kinder chocolate,Kinder Chocolate,3.0z,y,n,1,0,0,n,,-8,,,,,,n,,,,,,,
009800554003,Snacks /candy,1,309,n,n,Kinder bueno,Kinder Bueno,4pack,,n,1,1,0,n,,-43,,,,,0,n,,,,,,,
009800554041,Snacks /candy,1,339,n,n,Kinder bueno,Kinder Bueno,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800820016,Snacks /candy,1,199,n,n,Nutella  bredy,Nutella Bredy,07oz,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
009800820023,Snacks /candy,1,259,n,n,Nutella B ready,Nutella B Ready,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010002249123,Sundries,1,299,n,n,Aspirin,Aspirin,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
010002291276,Sundries,1,399,n,n,Pain Relief 500 mg Tylenol,Pain Relief 500 Mg Tylenol,40 ct,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
010700021526,Snacks /candy,1,229,n,n,Milk Duds:Chocolate Covered Caramels,Milk Duds:chocolate Covered Caramels,5.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700024404,Food,1,229,n,n,Whoppers:The Original,Whoppers:the Original,5.00 OZ,y,n,1,1,0,n,,0,,,,,0,n,,,,,,,
010700060655,Snacks /candy,1,339,n,n,Heath:Milk Chocolate English Toffee Bar,Heath:milk Chocolate English Toffee Bar,2.80 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700060808,Snacks /candy,1,189,n,n,Heath:Toffee Bar,Heath:toffee Bar,1.40 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700088130,Food,1,219,n,n,Good & Plenty:Licorice Candy,Good & Plenty:licorice Candy,6.00 OZ,y,n,1,1,0,n,,0,,,,,0,n,,,,,,,
010700101082,Snacks /candy,1,299,n,n,Jolly Ranchers Hard Candy,Jolly Ranchers Hard Candy,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700101099,Snacks /candy,1,249,n,n,Jolly Rancher,Jolly Rancher,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700102003,Food,1,299,n,n,"Jolly Rancher:Hard Candy, Fruit N' Sour Flavor, Assorted Flavors","Jolly Rancher:hard Candy, Fruit N' Sour Flavor, Assorted Flavors",6.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700450166,Snacks /candy,1,399,n,n,Jolly Rancher Bites,Jolly Rancher Bites,6.5 oz,y,n,1,1,0,n,,0,,,,,0,n,,,,,,,
010700450289,Food,1,399,n,n,JOLLY RANCHER SOUR,Jolly Rancher Sour,1,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700517128,Food,1,179,n,n,Jolly Rancher:Strawberry Green Apple,Jolly Rancher:strawberry Green Apple,1.20 OZ,y,n,1,1,0,n,,0,,,,,0,n,,,,,,,
010700517227,Snacks /candy,1,399,n,n,Jolly Rancher Hard Candy,Jolly Rancher Hard Candy,6.5 Oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700519306,Snacks /candy,1,399,n,n,"Jolly Rancher:Fruit Chews, Assortment","Jolly Rancher:fruit Chews, Assortment",6.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700519528,Snacks /candy,1,199,n,n,Jolly Rancher:Original Flavors,Jolly Rancher:original Flavors,2.06 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700529923,Snacks /candy,1,299,n,n,JOLLY RANCHER MISFITS,Jolly Rancher Misfits,1,y,n,1,1,0,n,,-19,,,,,0,n,,,,,,,
010700530004,Snacks /candy,1,299,n,n,Jolly rancher,Jolly Rancher,pk,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700557094,Snacks /candy,1,399,n,n,rancher,Rancher,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700557100,Snacks /candy,1,399,n,n,Jolly rancher,Jolly Rancher,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700702302,Food,1,409,n,n,Jolly Rancher:Original Flavors,Jolly Rancher:original Flavors,7.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700702623,Snacks /candy,1,399,n,n,Jolly rancher gummies,Jolly Rancher Gummies,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700702685,Snacks /candy,1,299,n,n,Jolly rancher,Jolly Rancher,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
010700804228,Snacks /candy,1,149,n,n,"Zero:Caramel, Peanut and Almond Nougat covered with White Fudge","Zero:caramel, Peanut And Almond Nougat Covered With White Fudge",1.85 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700804273,Snacks /candy,1,339,n,n,Zero:Candy Bar,Zero:candy Bar,3.40 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700807229,Snacks /candy,1,189,n,n,PayDay Peanut Caramel Bar,Payday Peanut Caramel Bar,1.85 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700807274,Snacks /candy,1,339,n,n,PayDay:King Size,Payday:king Size,3.40 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858351,Snacks /candy,1,309,n,n,JOLLY RANCH 5 OZ,Jolly Ranch 5 Oz,1,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858368,Snacks /candy,1,299,n,n,Jolly Rancher Gummi,Jolly Rancher Gummi,0,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858535,Snacks /candy,1,189,n,n,Payday,Payday,Bar,y,n,1,0,0,n,,-38,,,,,,n,,,,,,,
010700858559,Snacks /candy,1,339,n,n,Payday chocolatey,Payday Chocolatey,Kingsize,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700858900,Snacks /candy,1,349,n,n,Jolly rancher gummies,Jolly Rancher Gummies,,y,n,1,0,0,n,,-40,,,,,0,n,,,,,,,
010700859129,Snacks /candy,1,359,n,n,Jolly rancher sour lemonade,Jolly Rancher Sour Lemonade,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700859167,Snacks /candy,1,399,n,n,Jolly ranchers,Jolly Ranchers,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700859624,Snacks /candy,1,339,n,n,Jolly ranchEr,Jolly Rancher,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010700859662,Snacks /candy,1,339,n,n,Joly rancher gummys,Joly Rancher Gummys,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
010900000406,Sundries,1,499,n,n,Reynolds Wrap Aluminum Foil,Reynolds Wrap Aluminum Foil,25 ft,,n,1,1,0,n,,-2,,,,,0,n,,,,,,,
010900021180,Sundries,1,299,n,n,Reynold's Wrap,Reynold's Wrap,18 sq. ft.,,n,1,1,0,n,,0,,,,,,n,,,,,,,
010900374798,Sundries,1,399,n,n,Wraps 15  sq.ft,Wraps 15 Sq.ft,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
010900582070,Sundries,1,399,n,n,Foil paper,Foil Paper,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
011000000006,Tabbocco,1,620,n,n,Montego King,Montego King,King,,n,1,1,0,n,,-520,,,,,0,n,,,,,,,
011000000013,Tabbocco,1,620,n,n,Montego,Montego,box,,n,1,1,0,n,,-127,,,,,0,n,,,,,,,
011000000020,Tabbocco,1,620,n,n,Montego Red 100s,Montego Red 100s,1,,n,1,1,0,n,,-1244,,,,,,n,,,,,,,
011000000037,Tabbocco,1,620,n,n,Montego 100's Gold,Montego 100's Gold,1,,n,1,1,0,n,,-614,,,,,0,n,,,,,,,
011000000044,Tabbocco,1,620,n,n,Montego 100' Orange,Montego 100' Orange,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
011000000051,Tabbocco,1,499,n,n,MONTEGO,Montego,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
011000000617,Tabbocco,1,620,n,n,Montego Menthol,Montego Menthol,1,,n,1,1,0,n,,-269,,,,,0,n,,,,,,,
011000000631,Tabbocco,1,620,n,n,Montego Menthol Silver,Montego Menthol Silver,1,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
011000002826,Tabbocco,1,874,n,n,Eagle 20's Blue Kings,Eagle 20's Blue Kings,Kings,,n,1,0,0,n,,51,,,,,,n,,,,,,,
011000002833,Tabbocco,1,874,n,n,Eagle 20's Red Kings,Eagle 20's Red Kings,kings,,n,1,0,0,n,,15,,,,,,n,,,,,,,
011000002871,Tabbocco,1,874,n,n,Eagle 20's Blue 100s,Eagle 20's Blue 100s,100s,,n,1,0,0,n,,12,,,,,,n,,,,,,,
011000002888,Tabbocco,1,874,n,n,Eagle 20's Red 100s,Eagle 20's Red 100s,1,,n,1,0,0,n,,60,,,,,,n,,,,,,,
011000002918,Tabbocco,1,874,n,n,Eagle 20's Orange 100s,Eagle 20's Orange 100s,,,n,1,0,0,n,,57,,,,,,n,,,,,,,
011000002932,Tabbocco,1,874,n,n,Eagle 20's Menthol Gold 100s,Eagle 20's Menthol Gold 100s,1pk,,n,1,0,0,n,,89,,,,,,n,,,,,,,
011000002949,Tabbocco,1,874,n,n,Eagle 20's Menthol Silver 100s,Eagle 20's Menthol Silver 100s,100s,,n,1,0,0,n,,22,,,,,,n,,,,,,,
011000004059,Tabbocco,1,975,n,n,Pyramid Non Filter King Box Cigarettes,Pyramid Non Filter King Box Cigarettes,1.00 PK,,n,1,0,0,n,,0,,,,,,n,,,,,,,
011000004066,Tabbocco,1,975,n,n,Pyramid Blue 100s Cigarettes,Pyramid Blue 100s Cigarettes,1.00 PK,,n,1,0,0,n,,-11,,,,,,n,,,,,,,
011000004073,Tabbocco,1,975,n,n,Pyramid 100s Menthol Silver Box,Pyramid 100s Menthol Silver Box,1.00 PK,,n,1,0,0,n,,28,,,,,,n,,,,,,,
011000004080,Tabbocco,1,975,n,n,Pyramid Red 100s Cigarettes,Pyramid Red 100s Cigarettes,1.00 PK,,n,1,0,0,n,,53,,,,,,n,,,,,,,
011000004097,Tabbocco,1,975,n,n,Pyramid 100s Menthol Gold Box,Pyramid 100s Menthol Gold Box,1.00 PK,,n,1,0,0,n,,20,,,,,,n,,,,,,,
011000004134,Tabbocco,1,975,n,n,Pyramid Orange 100s Cigarettes,Pyramid Orange 100s Cigarettes,1.00 PK,,n,1,0,0,n,,24,,,,,,n,,,,,,,
011000004929,Tabbocco,1,945,n,n,Pyramid Red King Box Cigarettes,Pyramid Red King Box Cigarettes,1.00 PK,,n,1,0,0,n,,-30,,,,,,n,,,,,,,
011000004936,Tabbocco,1,975,n,n,Pyramid Blue King Box Cigarettes,Pyramid Blue King Box Cigarettes,1.00 PK,,n,1,0,0,n,,38,,,,,,n,,,,,,,
011000004943,Tabbocco,1,900,n,n,Pyramid Menthol Gold King Box,Pyramid Menthol Gold King Box,1.00 PK,,n,1,0,0,n,,29,,,,,,n,,,,,,,
011000004950,Tabbocco,1,739,n,n,Pyramid Menthol Silver King Box FSC,Pyramid Menthol Silver King Box FSC,1.00 PK,,n,1,1,0,n,,10,,,,,0,n,,,,,,,
011000005322,Tabbocco,1,804,n,n,Eagle 20's Non-Filter Kings,Eagle 20's Non-filter Kings,Kings,,n,1,0,0,n,,0,,,,,,n,,,,,,,
011034410055,Liquor ,1,1199,n,n,Martini & Rossi Rosso:Vermouth,Martini & Rossi & Rossi Rosso:vermouth,750.00 ML,,n,1,1,0,n,,0,,,,,,n,,,,,,,
011034410079,Liquor ,1,799,n,n,Martini & Rossi Rosso:Vermouth,Martini & Rossi & Rossi Rosso:vermouth,375.00 ML,,n,1,1,0,n,,1,,,,,,n,,,,,,,
011034420054,Liquor ,1,1499,n,n,Martini & Rossi:Vermouth,Martini & Rossi & Rossi:vermouth,750.00 ML,,n,1,1,0,n,,-24,,,,,,n,,,,,,,
011034420078,Liquor ,1,799,n,n,Martini & Rossi:Vermouth,Martini & Rossi & Rossi:vermouth,375.00 ML,,n,1,1,0,n,,7,,,,,0,n,,,,,,,
011034430053,Wine,1,1299,n,n,Martini & Rossi Blanco:Vermouth,Martini & Rossi & Rossi Blanco:vermouth,750.00 ML,,n,1,1,0,n,,-3,,,,,,n,,,,,,,
011034500039,Wine,1,2599,n,n,Martini & Rossi Asti:Moscato Blanco,Martini & Rossi & Rossi Asti:moscato Blanco,1.50 LT,,n,1,1,0,n,,-4,,,,,0,n,,,,,,,
011034500053,Wine,1,1499,n,n,Martini & Rossi Asti:Moscato Blanco,Martini & Rossi & Rossi Asti:moscato Blanco,750.00 ML,,n,1,1,0,n,,-6,,,,,0,n,,,,,,,
011110039620,Soda & Drink's,1,499,n,n,Aplle juice,Aplle Juice,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
011110039675,Soda & Drink's,1,599,n,n,Cranberry,Cranberry,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
